INSTANCE;SEMILLA;Z;TIME
A173-P130-R6-B9-L4-T14-C0.1;2339;175;7
A173-P130-R6-B9-L4-T14-C0.1;9845;175;5
A173-P130-R6-B9-L4-T14-C0.1;233;175;5
A173-P130-R6-B9-L4-T14-C0.1;4263;175;6
A173-P130-R6-B9-L4-T14-C0.1;2618;175;5
A173-P130-R6-B9-L4-T14-C0.1;9965;175;8
A173-P130-R6-B9-L4-T14-C0.1;1624;175;5
A173-P130-R6-B9-L4-T14-C0.1;5707;175;7
A173-P130-R6-B9-L4-T14-C0.1;2842;175;5
A173-P130-R6-B9-L4-T14-C0.1;130;175;5
A173-P130-R6-B9-L4-T14-C0.1;252;175;7
A173-P130-R6-B9-L4-T14-C0.1;9914;175;7
A173-P130-R6-B9-L4-T14-C0.1;8323;175;5
A173-P130-R6-B9-L4-T14-C0.1;9375;175;5
A173-P130-R6-B9-L4-T14-C0.1;4363;175;5
A173-P130-R6-B9-L4-T14-C0.1;2499;175;7
A173-P130-R6-B9-L4-T14-C0.1;2877;175;5
A173-P130-R6-B9-L4-T14-C0.1;5989;175;5
A173-P130-R6-B9-L4-T14-C0.1;1850;175;7
A173-P130-R6-B9-L4-T14-C0.1;5917;175;6
A173-P130-R6-B9-L4-T14-C0.1;7847;175;7
A173-P130-R6-B9-L4-T14-C0.2;8355;33;8
A173-P130-R6-B9-L4-T14-C0.2;3717;33;5
A173-P130-R6-B9-L4-T14-C0.2;5877;33;5
A173-P130-R6-B9-L4-T14-C0.2;2829;33;5
A173-P130-R6-B9-L4-T14-C0.2;2339;33;5
A173-P130-R6-B9-L4-T14-C0.2;9845;33;5
A173-P130-R6-B9-L4-T14-C0.2;233;33;5
A173-P130-R6-B9-L4-T14-C0.2;4263;33;7
A173-P130-R6-B9-L4-T14-C0.2;2618;33;5
A173-P130-R6-B9-L4-T14-C0.2;9965;33;5
A173-P130-R6-B9-L4-T14-C0.2;1624;33;7
A173-P130-R6-B9-L4-T14-C0.2;5707;33;5
A173-P130-R6-B9-L4-T14-C0.2;2842;34;6
A173-P130-R6-B9-L4-T14-C0.2;130;33;5
A173-P130-R6-B9-L4-T14-C0.2;252;33;5
A173-P130-R6-B9-L4-T14-C0.2;9914;33;7
A173-P130-R6-B9-L4-T14-C0.2;8323;34;5
A173-P130-R6-B9-L4-T14-C0.2;9375;33;7
A173-P130-R6-B9-L4-T14-C0.2;4363;33;5
A173-P130-R6-B9-L4-T14-C0.2;2499;34;5
A173-P130-R6-B9-L4-T14-C0.2;2877;33;7
A173-P130-R6-B9-L4-T14-C0.2;5989;33;7
A173-P130-R6-B9-L4-T14-C0.2;1850;33;7
A173-P130-R6-B9-L4-T14-C0.2;5917;33;6
A173-P130-R6-B9-L4-T14-C0.2;7847;33;5
A173-P130-R6-B9-L4-T14-C0.3;8355;61;6
A173-P130-R6-B9-L4-T14-C0.3;3717;61;5
A173-P130-R6-B9-L4-T14-C0.3;5877;61;5
A173-P130-R6-B9-L4-T14-C0.3;2829;61;6
A173-P130-R6-B9-L4-T14-C0.3;2339;61;6
